pnl_net,equity,drawdown,rolling_sharpe,rolling_expectancy,rolling_winrate
-0.6327590130579106,-45.26657958643928,-45.19697233694809,-15.52545881746926,-0.3550792873758478,0.02
-0.2988143999999646,-45.56539398643924,-45.495786736948055,-15.703691525449743,-0.3567937780755595,0.02
-0.30405759999999576,-45.86945158643923,-45.79984433694805,-15.656418389932309,-0.3560629993789673,0.02
-0.40489439999999777,-46.27434598643923,-46.204738736948045,-15.653131061377692,-0.35553124737896746,0.02
-0.393579048816001,-46.66792503525523,-46.598317785764046,-15.75720301934358,-0.35753346744307746,0.02
-0.4003777400000085,-47.06830277525524,-46.998695525764056,-15.773245949225068,-0.35812586862742324,0.02
-0.2616095669759775,-47.32991234223122,-47.26030509274003,-15.638709781004815,-0.356324268197343,0.02
-0.5263358715359518,-47.85624821376717,-47.78664096427598,-15.595929490203403,-0.3591006656280624,0.02
-0.44639994640634073,-48.302648160173504,-48.23304091068232,-15.59923655413828,-0.35990224055618947,0.02
-0.18919179999997615,-48.49183996017348,-48.422232710682295,-15.354060498866476,-0.3576356785561889,0.02
-0.3191159087999688,-48.81095586897345,-48.74134861948227,-15.483250750163647,-0.35912579750210816,0.02
-1.4444462232959743,-50.25540209226943,-50.18579484277824,-12.155040840185844,-0.3830190861705877,0.02
-0.3853440207359997,-50.64074611300543,-50.57113886351424,-12.173910620581658,-0.383564814784988,0.02
-0.5515539363999631,-51.19230004940539,-51.122692799914205,-12.261546941276329,-0.3881461473589079,0.02
-0.39908454205699984,-51.591384591462386,-51.5217773419712,-12.25699395075663,-0.38370247470736124,0.02
-0.24159593285517603,-51.83298052431756,-51.76337327482638,-12.132339582286198,-0.3813023267667377,0.02
-0.32537878070399895,-52.15835930502156,-52.08875205553038,-12.128676848752448,-0.38122100869905823,0.02
-0.3065439777279829,-52.464903282749546,-52.39529603325836,-12.222524174013547,-0.3827803625574579,0.02
