uid,side,entry,mfe_price,mae_price,pnl_net,entry_efficiency
DOGE-sell-141102-31f5,sell,0.08962,3.999999999999837e-05,0.0,-0.39558527999999793,-2239.5000000000914
HBAR-sell-141102-5790,sell,0.09581,4.000000000001225e-05,0.0,-0.40357478000000324,-2394.249999999267
PENGU-sell-141115-0a57,sell,0.006667,5.999999999999929e-06,0.0,-0.40061918399997476,-1110.16666666668
MOODENG-sell-141052-7d34,sell,0.04804,3.0000000000002247e-05,0.0,-0.20667042747116293,-1600.3333333332134
XLM-sell-140934-c937,sell,0.1502,0.00010999999999999899,-9.000000000000674e-05,-0.15550506418560378,-750.4499999999786
WLD-sell-141003-fcf4,sell,0.3824,0.00020000000000003348,-0.00039999999999995595,-0.1406618362799671,-637.0000000000111
LPT-sell-141115-1dc8,sell,2.212,0.0040000000000000036,0.0,-0.4316385999999752,-551.9999999999995
PEPE-sell-141115-a098,sell,3.268e-06,4.599999999999922e-09,-1.4000000000001052e-09,-0.29332436340542095,-543.8999999999975
ASTER-sell-141129-b74c,sell,0.6919,0.0009000000000000119,0.0,-0.29185519999997434,-767.7777777777676
BERA-buy-141030-c997,buy,0.546,0.0004999999999999449,-0.0014000000000000679,-0.16911916563198331,288.10526315789286
XRP-sell-141129-7670,sell,1.3559,0.000400000000000178,-0.0010999999999998789,-0.30103199999996266,-903.6666666666324
XLM-sell-141210-bcb3,sell,0.14993,0.0,-0.0002500000000000002,-0.3884846799999517,-599.7199999999995
LTC-sell-141224-b1fd,sell,53.7,0.04000000000000625,0.0,-0.2790319999999904,-1341.4999999997901
BERA-buy-141224-4c52,buy,0.5455,0.0006000000000000449,0.0,-0.38263679999996636,909.1666666665985
SUI-sell-141224-3905,sell,0.8941,0.0008000000000000229,0.0,-0.30424952000000005,-1116.624999999968
TAO-buy-141030-8b2c,buy,181.71,0.06999999999999318,-0.27000000000001023,-0.4425181589087871,535.2352941176417
ADA-sell-141306-c051,sell,0.2523,0.0001000000000000445,-9.999999999998899e-05,-0.24489836140793542,-1260.9999999997888
BNB-sell-141306-9bb8,sell,623.4,0.15999999999996817,-0.029999999999972715,-0.34772478771200466,-3280.21052631681
PENGU-sell-141318-fd79,sell,0.006662,3.000000000000398e-06,-2.999999999999531e-06,-0.4057785300000077,-1109.8333333333464
HBAR-sell-141308-2b90,sell,0.0957,0.0,-9.000000000000674e-05,-0.567978040166385,-1063.3333333332537
LPT-sell-141320-e3fa,sell,2.208,0.002000000000000224,-0.0009999999999998899,-0.5126744000000142,-735.3333333333054
WLD-sell-141238-a30c,sell,0.3823,9.999999999998899e-05,-0.00040000000000001146,-0.8909356155599878,-764.3999999999993
DOGE-sell-141306-24f3,sell,0.08955,2.0000000000006124e-05,-8.999999999999286e-05,-0.5072860165559838,-813.9090909090984
MYX-sell-141333-f495,sell,0.2919,0.0005999999999999894,0.0,-0.30936060000000937,-485.5000000000086
PEPE-sell-141327-9aa5,sell,3.2639e-06,0.0,-8.099999999999973e-09,-0.6327590130579106,-402.950617283952
ASTER-sell-141333-7749,sell,0.6916,0.0009000000000000119,-9.999999999998899e-05,-0.2988143999999646,-690.6999999999994
XRP-sell-141337-7292,sell,1.356,,,-0.30405759999999576,
ADA-sell-141506-fbfb,sell,0.2522,0.0005000000000000004,0.0,-0.40489439999999777,-503.3999999999995
GRASS-sell-141333-cecc,sell,0.2796,0.0,-0.0009000000000000119,-0.393579048816001,-310.6666666666626
HBAR-sell-141509-6d60,sell,0.09583,1.9999999999992246e-05,0.0,-0.4003777400000085,-4790.500000001857
BNB-sell-141509-c493,sell,623.98,0.19000000000005457,-0.12000000000000455,-0.2616095669759775,-2012.2258064512291
XLM-sell-141445-2cab,sell,0.15014,0.0,-0.00015999999999999348,-0.5263358715359518,-938.3750000000382
PEPE-sell-141524-3451,sell,3.2729e-06,2.6000000000001953e-09,-1.699999999999916e-09,-0.44639994640634073,-760.5348837209106
GRASS-sell-141536-17a3,sell,0.281,0.00030000000000002247,-9.999999999998899e-05,-0.18919179999997615,-701.7499999999799
LTC-sell-141424-a760,sell,53.76,0.030000000000001137,-0.030000000000001137,-0.3191159087999688,-895.499999999966
LPT-sell-141521-375e,sell,2.206,0.0,-0.008000000000000007,-1.4444462232959743,-275.7499999999998
ASTER-sell-141536-24eb,sell,0.6916,0.0,-0.000500000000000056,-0.3853440207359997,-1383.1999999998452
SUI-sell-141436-b785,sell,0.895,9.999999999998899e-05,-0.0010000000000000009,-0.5515539363999631,-813.545454545462
PEPE-sell-141736-0245,sell,3.2704e-06,2.699999999999991e-09,0.0,-0.39908454205699984,-1210.2592592592632
DOGE-sell-141509-5a5c,sell,0.08964,3.999999999999837e-05,-6.0000000000004494e-05,-0.24159593285517603,-895.9999999999743
ADA-sell-141655-a92f,sell,0.2524,9.999999999998899e-05,-9.999999999998899e-05,-0.32537878070399895,-1261.5000000001392
BNB-sell-141655-0e6f,sell,624.12,0.2899999999999636,0.0,-0.3065439777279829,-2151.137931034753
HBAR-sell-141655-7611,sell,0.09581,2.0000000000006124e-05,-9.999999999996123e-06,-0.3793415049863894,-3192.999999999761
SOL-sell-141743-e69a,sell,83.801,0.028999999999996362,-0.015000000000000568,-0.6001148649040056,-1903.9090909092238
AVAX-sell-141306-fe38,sell,8.935,0.0030000000000001137,-0.011999999999998678,-0.6918828729119975,-595.4666666667147
PENGU-sell-141518-6b98,sell,0.006676,1.999999999999398e-06,-1.000000000000046e-05,-1.1155712153825803,-556.1666666666732
WLD-sell-141445-f651,sell,0.383,9.999999999998899e-05,-0.0005999999999999894,-0.5697246384479915,-547.0000000000169
LTC-sell-141655-5e11,sell,53.73,0.00999999999999801,-0.07000000000000028,-0.46157804367997546,-671.5000000000143
SUI-sell-141736-d838,sell,0.8954,0.00019999999999997797,-0.0013000000000000789,-0.5593618311640114,-596.7999999999773
ASTER-sell-141736-cda6,sell,0.6922,0.0,-0.0011999999999999789,-0.5584896622079799,-576.8333333333435
DOGE-sell-141743-c4ea,sell,0.0896,0.0,-0.0001300000000000051,-0.40086895999999017,-689.2307692307421
LPT-sell-141736-276c,sell,2.212,0.0,-0.0040000000000000036,-0.9776481113599329,-552.9999999999995
XLM-sell-141642-59a4,sell,0.15036,0.0,-0.00020000000000000573,-0.5785658040831976,-751.7999999999785
HBAR-sell-141907-f82b,sell,0.09587,1.9999999999992246e-05,0.0,-0.40506209999999077,-4792.500000001858
XRP-sell-141536-0b85,sell,1.3575,0.00029999999999996696,-0.0012000000000000899,-0.3602480134399744,-904.7999999999657
PEPE-sell-141930-e35b,sell,3.2679e-06,1.499999999999901e-09,0.0,-0.6458011037026479,-2177.600000000144
XLM-sell-141907-5afd,sell,0.15056,4.000000000001225e-05,0.0,-0.3433201873759887,-3762.9999999988477
PENGU-sell-141826-bb38,sell,0.006689,7.999999999999327e-06,-1.0000000000001327e-06,-0.13242375056064948,-742.3333333333779
BNB-sell-141907-f7cd,sell,624.42,0.14999999999997726,0.0,-0.3658643889119942,-4161.8000000006305
ADA-sell-141907-9ae2,sell,0.2524,9.999999999998899e-05,-9.999999999998899e-05,-0.3350915801279989,-1261.5000000001392
LPT-sell-141930-189e,sell,2.215,0.0009999999999998899,0.0,-0.4087367713919715,-2214.0000000002437
XRP-sell-141930-9e20,sell,1.3585,0.000700000000000145,-9.999999999998899e-05,-0.30145379999997246,-1697.2499999997158
SUI-sell-141930-2c6d,sell,0.8963,0.0007000000000000339,0.0,-0.3037875200000033,-1279.4285714285093
WLD-sell-141845-04cb,sell,0.3835,0.00040000000000001146,0.0,-0.19429794911997758,-957.7499999999726
MOODENG-sell-141944-aedb,sell,0.04829,0.00010000000000000286,0.0,-0.3116929199999911,-481.89999999998616
SOL-sell-141944-95a7,sell,83.864,0.11299999999999955,0.0,-0.38528219999997115,-741.1592920354012
DOGE-sell-141944-8f1a,sell,0.08972,0.00012999999999999123,0.0,-0.3774628846455924,-689.1538461538927
PENGU-sell-142025-d2a9,sell,0.006687,1.299999999999999e-05,0.0,-0.4045111399999769,-513.3846153846158
WLD-sell-142041-fbbb,sell,0.3831,0.00019999999999997797,0.0,-0.40587399999998464,-1914.500000000211
XLM-sell-142126-bd6c,sell,0.15048,0.00015000000000001124,0.0,-0.6721728741479501,-1002.1999999999249
KITE-sell-141907-c527,sell,0.25105,0.0030699999999999894,0.0,1.0357375397712523,-80.77524429967455
ASTER-sell-141930-715c,sell,0.6929,9.999999999998899e-05,-9.999999999998899e-05,-0.28032619476799714,-3464.0000000003815
PEPE-sell-142139-9f5f,sell,3.263e-06,0.0,-4.199999999999892e-09,-0.6366847436940399,-776.9047619047818
LPT-sell-142139-3b1f,sell,2.213,0.0,-0.0030000000000001137,-0.886279785895972,-737.6666666666388
DOGE-sell-142145-3e32,sell,0.08965,1.9999999999992246e-05,-0.00010000000000000286,-0.6017265582327602,-746.9166666666971
BCH-sell-142209-12d2,sell,448.5,0.2799999999999727,-0.29000000000002046,-0.20644339999999,-786.3508771929919
BERA-buy-142011-ee51,buy,0.5471,0.0010000000000000009,-0.0016000000000000458,0.044128838368874046,211.03846153845777
BNB-sell-142128-a8ef,sell,623.95,0.0,-0.5699999999999363,-0.6000951451439261,-1094.64912280714
SUI-sell-142141-c39b,sell,0.895,0.0,-0.0015999999999999348,-0.5251065529776079,-559.3750000000229
KITE-sell-142242-ce69,sell,0.24844,0.0007999999999999952,0.0,-0.1155337575200017,-309.5500000000019
XRP-sell-142141-6cf0,sell,1.3571,9.999999999998899e-05,-0.0017000000000000348,-0.44578713463197417,-753.8888888888789
PEPE-sell-142342-53df,sell,3.273e-06,1.3999999999996817e-09,-1.7000000000003395e-09,-0.2180549688757045,-1055.3548387096703
HBAR-sell-142126-67e7,sell,0.09574,0.0,-8.999999999999286e-05,-0.5958021657055749,-1063.7777777778622
ADA-sell-142126-b006,sell,0.252,0.0,-0.0005999999999999894,-0.832730599479979,-420.0000000000074
