pnl_net,equity,drawdown
-0.6141511970663666,-105.87521920442546,-105.80561195493428
-0.482030744471997,-106.35724994889746,-106.28764269940628
-0.7474563866639832,-107.10470633556145,-107.03509908607026
-0.6274912545279722,-107.73219759008941,-107.66259034059823
-0.7834576133999633,-108.51565520348937,-108.44604795399819
-0.7924500907199893,-109.30810529420937,-109.23849804471818
-1.2185694695119444,-110.52667476372132,-110.45706751423013
-0.3583768364319918,-110.8850516001533,-110.81544435066212
-0.8490813080383894,-111.7341329081917,-111.66452565870051
-0.5614087236155711,-112.29554163180727,-112.22593438231608
-0.45606795907199715,-112.75160959087927,-112.68200234138808
-0.6396000787199975,-113.39120966959926,-113.32160242010808
-0.7458284442495887,-114.13703811384885,-114.06743086435766
-0.5161344276479702,-114.65317254149682,-114.58356529200563
-2.4840174900822465,-117.13719003157907,-117.06758278208788
-1.8892323089199077,-119.02642234049897,-118.95681509100778
-0.5621264587519781,-119.58854879925094,-119.51894154975976
-0.6384946070159765,-120.22704340626692,-120.15743615677573
-0.6259500513599927,-120.85299345762691,-120.78338620813572
-0.7120080950400101,-121.56500155266691,-121.49539430317573
-0.31266599999999123,-121.8776675526669,-121.80806030317572
-0.3873337999999519,-122.26500135266686,-122.19539410317567
-0.29473200000000876,-122.55973335266687,-122.49012610317568
-0.3337737303599908,-122.89350708302686,-122.82389983353568
-0.5925771417215783,-123.48608422474844,-123.41647697525725
-0.2794655907839822,-123.76554981553242,-123.69594256604124
0.7767389067296792,-122.98881090880275,-122.91920365931156
-0.3068450989951898,-123.29565600779793,-123.22604875830675
-0.4561417998728063,-123.75179780767074,-123.68219055817956
-0.31640400000000224,-124.06820180767075,-123.99859455817956
-0.23645006425942036,-124.30465187193016,-124.23504462243898
-0.26855279637498686,-124.57320466830515,-124.50359741881397
-0.49527771946394694,-125.0684823877691,-124.99887513827791
-1.3050388574399356,-126.37352124520903,-126.30391399571785
-0.410836399999956,-126.78435764520898,-126.7147503957178
-0.3124200000000066,-127.09677764520899,-127.0271703957178
-0.21409692699595934,-127.31087457220495,-127.24126732271377
-0.3873705999999931,-127.69824517220495,-127.62863792271376
-0.2947536000000042,-127.99299877220496,-127.92339152271377
-0.3322559769599698,-128.3252547491649,-128.25564749967373
-0.30672837782399354,-128.6319831269889,-128.56237587749771
-0.2944535245519842,-128.92643665154088,-128.8568294020497
-0.08441047112796381,-129.01084712266885,-128.94123987317766
-0.08226133948718947,-129.09310846215604,-129.02350121266485
-0.262901116632,-129.35600957878805,-129.28640232929686
-0.16304849244001,-129.51905807122805,-129.44945082173686
-0.18907744146716804,-129.7081355126952,-129.63852826320402
-0.1663883520223915,-129.8745238647176,-129.8049166152264
-0.36289919078395977,-130.23742305550155,-130.16781580601037
-0.21895770275998802,-130.45638075826153,-130.38677350877035
-0.2956594483506135,-130.75204020661215,-130.68243295712097
-0.46117279041120507,-131.21321299702336,-131.14360574753218
-0.14424761669199265,-131.35746061371535,-131.28785336422416
-0.593781339707706,-131.95124195342305,-131.88163470393187
-0.19105059999999177,-132.14229255342303,-132.07268530393185
-0.28187199999998647,-132.42416455342303,-132.35455730393184
-2.24609416501118,-134.6702587184342,-134.60065146894303
-0.19857167999998782,-134.8688303984342,-134.799223148943
-0.10990400861436292,-134.97873440704856,-134.90912715755738
-0.19118159999999595,-135.16991600704856,-135.10030875755737
-0.14805416692127693,-135.31797017396983,-135.24836292447864
-0.17547409465441757,-135.49344426862424,-135.42383701913306
-0.11769403860476968,-135.61113830722903,-135.54153105773784
-0.24857101295999584,-135.859709320189,-135.79010207069783
-0.15286718713599148,-136.012576507325,-135.94296925783382
-0.36507043849598586,-136.377646945821,-136.3080396963298
-0.33475729647357466,-136.71240424229458,-136.6427969928034
-0.8013851056127732,-137.51378934790736,-137.44418209841618
-0.15037798761598545,-137.66416733552336,-137.59456008603217
-0.24203896697903787,-137.9062063025024,-137.8365990530112
-0.20130637349981842,-138.10751267600222,-138.03790542651103
-0.2418025992479984,-138.3493152752502,-138.27970802575902
-0.12206761136878586,-138.47138288661898,-138.4017756371278
-0.14064358531197643,-138.61202647193096,-138.54241922243978
-0.12439018075200696,-138.73641665268298,-138.6668094031918
-0.6503834344184569,-139.38680008710142,-139.31719283761024
-0.06265433932797745,-139.44945442642938,-139.3798471769382
-0.1920345284231743,-139.64148895485255,-139.57188170536136
-0.2982361200000264,-139.93972507485256,-139.87011782536138
-0.19118159999999595,-140.13090667485255,-140.06129942536137
-0.12355934401437992,-140.25446601886694,-140.18485876937575
-0.13424750406398495,-140.3887135229309,-140.31910627343973
-0.2742049799999833,-140.6629185029309,-140.5933112534397
-0.19030000000001018,-140.8532185029309,-140.78361125343972
-0.08076727424797814,-140.9339857771789,-140.8643785276877
-0.3643136383039834,-141.2982994154829,-141.2286921659917
-0.16754399351999047,-141.46584340900287,-141.3962361595117
-0.5105017258563029,-141.97634513485917,-141.906737885368
-0.11160208092000382,-142.08794721577917,-142.01833996628798
0.6418298968712058,-141.44611731890797,-141.37651006941678
0.10513551714561542,-141.34098180176235,-141.27137455227117
-0.18857393275774167,-141.5295557345201,-141.45994848502892
-0.22923235875916886,-141.75878809327926,-141.68918084378808
-0.1841369744752008,-141.94292506775446,-141.87331781826327
